creacion,candidato,compound,retweet_count,numSemana,compoundRT
07/03/21,Samuel Garcia,-0.4717,155,11,-73.1135
07/03/21,Samuel Garcia,0,27,11,0
07/03/21,Samuel Garcia,0,26,11,0
07/03/21,Samuel Garcia,0.2263,117,11,26.4771
07/03/21,Samuel Garcia,0.2263,116,11,26.2508
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,0,0,11,0
07/03/21,Samuel Garcia,-0.1027,0,11,0
07/03/21,Samuel Garcia,-0.1027,0,11,0
07/03/21,Samuel Garcia,-0.4404,0,11,0
07/03/21,Samuel Garcia,-0.4404,0,11,0
