candidato,retweetTimesTrust,retweetTotal,creacion,numSemana
Clara Luz Flores,0,64,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,26.88888886,121,06/03/21,10
Clara Luz Flores,26.88888886,121,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,20,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,1,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,8,06/03/21,10
Clara Luz Flores,26.88888886,121,06/03/21,10
Clara Luz Flores,4.666666676,28,06/03/21,10
Clara Luz Flores,2,4,06/03/21,10
Clara Luz Flores,10.125,81,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.444444444,4,06/03/21,10
Clara Luz Flores,0,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.166666667,1,06/03/21,10
Clara Luz Flores,0.090909091,1,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,652.6,3263,06/03/21,10
Clara Luz Flores,0.5,1,07/03/21,11
Clara Luz Flores,26.88888886,121,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,155,07/03/21,11
Clara Luz Flores,4.99999998,60,07/03/21,11
Clara Luz Flores,5.222222217,47,07/03/21,11
Clara Luz Flores,0,155,07/03/21,11
Clara Luz Flores,0.090909091,1,07/03/21,11
Clara Luz Flores,0,155,07/03/21,11
