creacion,candidato,compound,retweet_count,numSemana,compoundRT
04/03/21,Clara Luz Flores,0.659,41,10,27.019
04/03/21,Clara Luz Flores,0,2,10,0
04/03/21,Clara Luz Flores,-0.7112,0,10,0
04/03/21,Clara Luz Flores,0.659,41,10,27.019
04/03/21,Clara Luz Flores,0,6,10,0
04/03/21,Clara Luz Flores,0.7269,30,10,21.807
04/03/21,Clara Luz Flores,0.659,41,10,27.019
04/03/21,Clara Luz Flores,0.3818,0,10,0
04/03/21,Clara Luz Flores,-0.4019,0,10,0
04/03/21,Clara Luz Flores,-0.5423,949,10,-514.6427
04/03/21,Clara Luz Flores,0,10,10,0
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0.6705,0,10,0
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0,6,10,0
04/03/21,Clara Luz Flores,0.1603,0,10,0
04/03/21,Clara Luz Flores,-0.1027,0,10,0
04/03/21,Clara Luz Flores,0.5267,580,10,305.486
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0.5267,580,10,305.486
04/03/21,Clara Luz Flores,-0.4404,103,10,-45.3612
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,-0.4404,103,10,-45.3612
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0,0,10,0
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0.5267,580,10,305.486
04/03/21,Clara Luz Flores,0.7854,68,10,53.4072
04/03/21,Clara Luz Flores,-0.3182,949,10,-301.9718
04/03/21,Clara Luz Flores,0.5574,0,10,0
04/03/21,Clara Luz Flores,-0.5859,25,10,-14.6475
04/03/21,Clara Luz Flores,0.6486,224,10,145.2864
04/03/21,Clara Luz Flores,-0.4404,103,10,-45.3612
04/03/21,Clara Luz Flores,-0.4404,144,10,-63.4176
04/03/21,Clara Luz Flores,-0.4404,144,10,-63.4176
04/03/21,Clara Luz Flores,-0.4404,144,10,-63.4176
