candidato,retweetTimesNegativity,retweetTotal,creacion,numSemana
Samuel Garcia,16.588,58,08/03/21,11
Samuel Garcia,14.79,58,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,1.512,21,08/03/21,11
Samuel Garcia,0.876,6,08/03/21,11
Samuel Garcia,0.101,1,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,0,08/03/21,11
Samuel Garcia,0,2,09/03/21,11
Samuel Garcia,5.846,37,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0.871,13,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,163,09/03/21,11
Samuel Garcia,0,12,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,247,09/03/21,11
Samuel Garcia,1.026,6,09/03/21,11
Samuel Garcia,0,35,09/03/21,11
Samuel Garcia,1.232,8,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,0,1,09/03/21,11
Samuel Garcia,0.552,4,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,163,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,2.296,14,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,3.504,16,09/03/21,11
Samuel Garcia,1.084,4,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,1,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,194.06,620,09/03/21,11
Samuel Garcia,0,545,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,2,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,1.521,13,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,2171,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,2171,09/03/21,11
Samuel Garcia,0,32,09/03/21,11
Samuel Garcia,0,32,09/03/21,11
Samuel Garcia,0,2171,09/03/21,11
Samuel Garcia,0,0,09/03/21,11
Samuel Garcia,0,2171,09/03/21,11
Samuel Garcia,0,2171,09/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,1,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0.486,2,10/03/21,11
Samuel Garcia,8.344,56,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0.871,13,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,5.52,46,10/03/21,11
Samuel Garcia,0,15,10/03/21,11
Samuel Garcia,5.52,46,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,4,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,10.374,133,10/03/21,11
Samuel Garcia,43.722,347,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,133,10/03/21,11
Samuel Garcia,43.722,347,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,7,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,41,10/03/21,11
Samuel Garcia,0,133,10/03/21,11
Samuel Garcia,43.722,347,10/03/21,11
Samuel Garcia,0,133,10/03/21,11
Samuel Garcia,43.722,347,10/03/21,11
Samuel Garcia,68.985,511,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,162,10/03/21,11
Samuel Garcia,0,133,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,378,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,162,10/03/21,11
Samuel Garcia,0,1,10/03/21,11
Samuel Garcia,0,15,10/03/21,11
Samuel Garcia,0,2171,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
Samuel Garcia,0,0,10/03/21,11
