candidato,retweetTimesFear,retweetTotal,creacion,numSemana
Clara Luz Flores,0,224,06/03/21,10
Clara Luz Flores,0,35,06/03/21,10
Clara Luz Flores,0,50,06/03/21,10
Clara Luz Flores,0,3263,06/03/21,10
Clara Luz Flores,0,20,06/03/21,10
Clara Luz Flores,0,2,06/03/21,10
Clara Luz Flores,4,64,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,13.44444443,121,06/03/21,10
Clara Luz Flores,13.44444443,121,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,20,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.066666667,1,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0.727272728,8,06/03/21,10
Clara Luz Flores,13.44444443,121,06/03/21,10
Clara Luz Flores,0,28,06/03/21,10
Clara Luz Flores,0,4,06/03/21,10
Clara Luz Flores,0,81,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,14.09090911,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,14.09090911,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,4,06/03/21,10
Clara Luz Flores,14.09090911,155,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,1,06/03/21,10
Clara Luz Flores,0.090909091,1,06/03/21,10
Clara Luz Flores,0,0,06/03/21,10
Clara Luz Flores,0,3263,06/03/21,10
Clara Luz Flores,0,1,07/03/21,11
Clara Luz Flores,13.44444443,121,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,60,07/03/21,11
Clara Luz Flores,5.222222217,47,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,1,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,3263,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,1,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,40,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,1,07/03/21,11
Clara Luz Flores,23.2727273,128,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,0,6,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,13.44444443,121,07/03/21,11
Clara Luz Flores,0,40,07/03/21,11
Clara Luz Flores,23.2727273,128,07/03/21,11
Clara Luz Flores,0,3,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
Clara Luz Flores,0,0,07/03/21,11
Clara Luz Flores,14.09090911,155,07/03/21,11
