distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MOVIMIENTO_CIUDADANO,RSP,MORENA,PES,FM,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PT_MORENA_PVEM,PT_MORENA,PT_PVEM,PVEM_MORENA,CAND_IND_01,CAND_IND_02,CNR,VN,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,URBANA,RURAL,VPM,JHH
3005,5,30,22611,15064,35629,3352,2740,2713,2264,68118,1157,1157,1471,1379,93,151,1263,599,48,283,0,0,34,4399,163368,250521,328,115,0,0
3006,6,30,38257,26163,16269,10725,4819,9730,2854,66806,1837,1837,891,709,191,84,1097,403,63,349,0,0,49,6040,187336,286127,202,344,0,0
3007,7,30,37342,22696,5831,7517,4484,8689,3479,79996,2175,2175,855,520,306,62,1110,503,52,393,0,0,44,7081,183135,283027,230,324,0,0
3008,8,30,58443,28938,12684,7073,3905,4176,2694,78440,2351,2351,1160,1183,189,42,1129,424,63,367,0,0,76,7971,211308,315892,201,388,0,0
3009,9,30,51315,33365,11170,3173,3400,3848,1959,62701,2016,2016,1114,1048,180,76,897,378,62,303,0,0,32,7125,184162,272503,233,243,0,0
3010,10,30,44391,20241,4109,13068,4561,4499,4579,108703,3385,3385,873,410,129,35,1627,604,55,451,0,0,126,7179,219025,323195,559,8,0,0
3011,11,30,31385,17122,4331,1999,2934,3127,3124,120251,2432,2432,1055,356,159,60,3245,707,75,739,0,0,58,4814,197973,305208,477,93,0,0
3012,12,30,92895,21237,2703,7266,3408,4109,2089,71422,2635,2635,1635,815,384,39,1101,413,26,322,0,0,101,6290,218890,336028,489,132,0,0
3013,13,30,60284,26004,5848,8527,3527,3593,4078,74559,1998,1998,911,679,219,57,895,450,109,392,0,0,37,7655,199822,303513,162,407,0,0
3014,14,30,35022,21548,6997,2677,4167,3187,1774,88696,1864,1864,1463,817,186,44,1897,590,67,453,0,0,31,5517,176997,276057,279,273,0,0
3015,15,30,45410,20509,10322,9112,3951,5984,2889,83502,2791,2791,1268,973,204,81,1535,553,76,488,0,0,72,7406,197126,292558,350,176,0,0
3016,16,30,42493,24589,4735,15677,3937,3980,4474,91991,3023,3023,834,478,144,34,1571,529,67,555,0,0,75,6454,205640,302994,358,181,0,0
3017,17,30,48637,22715,9330,2622,5362,3201,1973,72690,1555,1555,878,852,175,45,1412,699,69,389,0,0,55,7257,179916,287016,240,303,0,0
3018,18,30,38127,31627,13241,4851,6339,8181,3248,72920,2622,2622,1044,997,308,118,1400,572,94,464,0,0,45,9910,196108,283145,123,382,0,0
3019,19,30,47086,14539,14980,9909,3712,3550,5581,72631,2017,2017,1418,1232,229,102,1386,463,81,360,0,0,51,8651,187978,303659,222,332,0,0
3020,20,30,29748,25665,8989,3059,4727,3528,3465,101726,2563,2563,776,688,89,47,1902,598,88,499,0,0,25,6273,194455,297029,287,256,0,0
3101,1,31,58486,84600,3115,7773,2180,4155,3321,51111,1671,1671,241,168,278,19,585,202,87,185,0,0,26,5552,224743,278151,259,240,1,1
3102,2,31,59114,71324,6520,11924,2494,5598,6245,44202,2505,2505,316,202,443,47,722,270,25,278,0,0,47,7108,220513,290551,343,155,1,1
3103,3,31,71709,53480,2587,4191,4046,3636,2372,70818,3153,3153,854,241,733,22,1637,614,40,438,0,0,96,6516,229179,341019,541,50,1,1
3104,4,31,97029,53222,2377,4121,4249,3816,2173,66565,3116,3116,868,210,724,34,1267,422,62,323,0,0,107,6379,248757,338827,536,53,1,1
3105,5,31,57981,77696,14462,9095,4201,5237,9199,44674,1057,1057,297,649,285,68,425,238,26,96,0,0,22,6411,232880,291540,295,214,1,1
3201,1,32,22658,38809,7359,8819,11752,3205,4631,62405,3487,3487,560,543,92,37,1322,1172,100,247,0,0,66,6389,174427,277083,234,349,1,1
3202,2,32,38637,45363,13137,16644,12070,4790,4492,41867,4521,4521,1020,806,163,67,826,532,74,255,0,0,42,8435,194623,307015,221,532,1,1
3203,3,32,18507,46500,6126,11558,15689,3549,13875,64058,2873,2873,403,377,74,25,1174,1005,91,274,0,0,113,8091,195467,291084,304,329,1,1
3204,4,32,13847,59218,11986,7381,13886,6387,4045,62490,2882,2882,462,318,61,107,1180,787,74,278,0,0,84,7469,193857,287277,235,324,1,1
