distrito_id,dto,edo,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,JHH,VXM,TOTAL,GANADOR_2018,GANADOR_2021
2703,3,27,0,0,0,0,0,1.59,0,6.63,1.28,2.79,0,0,0,38.24,0,0,0,49.47,0,0,0,1,1,15257,PAN-PRD-MC,PVEM-PT-MORENA
2704,4,27,0,0,0,34.36,12.51,1.59,41.31,2.37,3.79,0.92,0,0,0,3.14,0,0,0,0,0,0,0,0,1,10623,PRI-PVEM-NA,MORENA
2705,5,27,0,0,0,21.57,3.41,5.8,44.46,4.92,3.24,1.89,0,0,0,14.71,0,0,0,0,0,0,0,0,1,14299,PT-MORENA-PES,MORENA
2706,6,27,0,0,0,0,0,3.87,0,6.1,4.83,2.56,0,0,0,45.26,0,0,0,37.38,0,0,0,1,1,28207,PAN-PRD-MC,PAN-PRI-PRD
1601,1,16,49.9,9.18,0.96,0,0,2.21,0,1.29,0.91,1.54,0,0,0,0,0,0,0,34.01,0,0,0,1,0,47357,MORENA,PAN
1602,2,16,54.47,9.6,0.96,2.61,1.02,1.79,26.23,1.11,0.86,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,44639,PT-MORENA-PES,PAN
1603,3,16,51.94,13.78,1,4.23,1.59,1.85,21.39,1.18,1.21,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,34527,PT-MORENA-PES,PAN
1606,6,16,0,0,0,0,0,2.91,0,8.03,1.43,11.84,0,0,0,17.56,0,0,0,58.23,0,0,0,1,1,40684,PT-MORENA-PES,PVEM-PT-MORENA
1607,7,16,0,0,0,0,0,3.42,0,3.51,1.16,10.65,0,0,0,38,0,0,0,43.26,0,0,0,1,1,75521,PT-MORENA-PES,PVEM-PT-MORENA
1608,8,16,0,0,0,0,0,6.43,0,3.21,1.1,1.63,0,0,0,38.66,0,0,0,48.97,0,0,0,1,1,11178,PT-MORENA-PES,PVEM-PT-MORENA
