"ESTADO","SEMANA2","FECHA_DOMINGO","CONFIRMADOS","DECESOS"
"08","'17-2021","2021-04-25",925,60
"08","'18-2020","2020-04-26",521,167
"08","'18-2021","2021-05-02",692,30
"08","'19-2020","2020-05-03",555,144
"08","'19-2021","2021-05-09",624,34
"08","'20-2020","2020-05-10",517,101
"08","'20-2021","2021-05-16",426,27
"08","'21-2020","2020-05-17",540,78
"08","'21-2021","2021-05-23",327,28
"08","'22-2020","2020-05-24",437,76
"08","'22-2021","2021-05-30",287,21
"08","'23-2020","2020-05-31",406,72
"08","'23-2021","2021-06-06",218,9
"08","'24-2020","2020-06-07",390,64
"08","'24-2021","2021-06-13",195,9
"08","'25-2020","2020-06-14",399,48
"08","'25-2021","2021-06-20",202,7
"08","'26-2020","2020-06-21",455,69
"08","'26-2021","2021-06-27",350,18
"08","'27-2020","2020-06-28",629,97
"08","'27-2021","2021-07-04",494,11
"08","'28-2020","2020-07-05",657,73
"08","'28-2021","2021-07-11",581,8
"08","'29-2020","2020-07-12",693,87
"08","'29-2021","2021-07-18",733,7
"08","'30-2020","2020-07-19",722,64
"08","'30-2021","2021-07-25",552,1
"08","'31-2020","2020-07-26",646,63
"08","'31-2021","2021-08-01",120,0
"08","'32-2020","2020-08-02",619,59
"08","'33-2020","2020-08-09",740,54
"08","'34-2020","2020-08-16",730,62
"08","'35-2020","2020-08-23",747,62
"08","'36-2020","2020-08-30",750,79
"08","'37-2020","2020-09-06",654,68
"08","'38-2020","2020-09-13",889,73
"08","'39-2020","2020-09-20",996,88
"08","'40-2020","2020-09-27",1891,209
"08","'41-2020","2020-10-04",3347,311
"08","'42-2020","2020-10-11",4246,494
"08","'43-2020","2020-10-18",3798,580
"08","'44-2020","2020-10-25",3145,564
"08","'45-2020","2020-11-01",2219,414
"08","'46-2020","2020-11-08",1663,344
"08","'47-2020","2020-11-15",1584,231
"08","'48-2020","2020-11-22",863,133
"08","'49-2020","2020-11-29",686,131
"08","'50-2020","2020-12-06",617,93
"08","'51-2020","2020-12-13",530,105
"08","'52-2020","2020-12-20",789,160
"09","'01-2021","2021-01-03",53299,2406
"09","'02-2021","2021-01-10",34745,1457
"09","'03-2021","2021-01-17",30736,1257
"09","'04-2021","2021-01-24",22869,1004
"09","'05-2021","2021-01-31",18669,800
"09","'06-2021","2021-02-07",16437,697
"09","'07-2021","2021-02-14",14945,679
"09","'08-2020","2020-02-16",4,0
"09","'08-2021","2021-02-21",14329,575
"09","'09-2020","2020-02-23",11,0
"09","'09-2021","2021-02-28",13335,475
"09","'10-2020","2020-03-01",44,3
"09","'10-2021","2021-03-07",10348,375
"09","'11-2020","2020-03-08",226,7
"09","'11-2021","2021-03-14",10063,345
"09","'12-2020","2020-03-15",326,48
"09","'12-2021","2021-03-21",8481,274
"09","'13-2020","2020-03-22",484,92
"09","'13-2021","2021-03-28",6597,192
"09","'14-2020","2020-03-29",861,161
"09","'14-2021","2021-04-04",7429,173
"09","'15-2020","2020-04-05",1500,342
"09","'15-2021","2021-04-11",6153,141
"09","'16-2020","2020-04-12",2585,547
"09","'16-2021","2021-04-18",5498,86
"09","'17-2020","2020-04-19",3507,794
"09","'17-2021","2021-04-25",4283,73
"09","'18-2020","2020-04-26",4379,937
"09","'18-2021","2021-05-02",3405,56
"09","'19-2020","2020-05-03",5551,1094
"09","'19-2021","2021-05-09",3218,50
"09","'20-2020","2020-05-10",5661,954
"09","'20-2021","2021-05-16",3278,39
"09","'21-2020","2020-05-17",6131,911
"09","'21-2021","2021-05-23",3628,31
"09","'22-2020","2020-05-24",5885,845
"09","'22-2021","2021-05-30",4192,54
"09","'23-2020","2020-05-31",6219,793
"09","'23-2021","2021-06-06",5061,59
"09","'24-2020","2020-06-07",5314,610
"09","'24-2021","2021-06-13",7088,96
"09","'25-2020","2020-06-14",5434,521
"09","'25-2021","2021-06-20",9900,145
"09","'26-2020","2020-06-21",5120,432
"09","'26-2021","2021-06-27",14805,190
"09","'27-2020","2020-06-28",5810,434
"09","'27-2021","2021-07-04",22309,242
"09","'28-2020","2020-07-05",5716,398
"09","'28-2021","2021-07-11",25204,283
"09","'29-2020","2020-07-12",6426,388
"09","'29-2021","2021-07-18",28439,216
"09","'30-2020","2020-07-19",6427,384
"09","'30-2021","2021-07-25",24407,79
"09","'31-2020","2020-07-26",5866,339
"09","'31-2021","2021-08-01",10603,10
"09","'32-2020","2020-08-02",5270,283
"09","'33-2020","2020-08-09",6210,294
"09","'34-2020","2020-08-16",6836,321
"09","'35-2020","2020-08-23",7271,360
"09","'36-2020","2020-08-30",7299,345
"09","'37-2020","2020-09-06",6145,297
"09","'38-2020","2020-09-13",6737,302
"09","'39-2020","2020-09-20",6268,324
"09","'40-2020","2020-09-27",6761,358
"09","'41-2020","2020-10-04",7649,324
"09","'42-2020","2020-10-11",8589,366
"09","'43-2020","2020-10-18",10413,349
"09","'44-2020","2020-10-25",10210,432
"09","'45-2020","2020-11-01",10625,476
"09","'46-2020","2020-11-08",11990,584
"09","'47-2020","2020-11-15",14406,614
"09","'48-2020","2020-11-22",18533,721
"09","'49-2020","2020-11-29",27989,1013
"09","'50-2020","2020-12-06",30245,1169
"09","'51-2020","2020-12-13",30127,1392
"09","'52-2020","2020-12-20",43020,2199
"10","'01-2021","2021-01-03",1321,113
"10","'02-2021","2021-01-10",771,55
"10","'03-2021","2021-01-17",658,51
"10","'04-2021","2021-01-24",501,48
"10","'05-2021","2021-01-31",481,49
"10","'06-2021","2021-02-07",361,41
"10","'07-2021","2021-02-14",332,15
"10","'08-2021","2021-02-21",316,20
"10","'09-2021","2021-02-28",336,27
"10","'10-2020","2020-03-01",1,0
"10","'10-2021","2021-03-07",283,32
